,link,price
0,https://www.ikea.com/sa/en/p/tyssedal-wardrobe-white-mirror-glass-00298128/,"SR1,995"
1,https://www.ikea.com/sa/en/p/sniglar-cot-beech-30248537/,SR445
2,https://www.ikea.com/sa/en/p/groenlid-cover-for-corner-section-sporda-dark-grey-20398688/,SR445
3,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,SR525
4,https://www.ikea.com/sa/en/p/uppspel-underframe-sit-stand-f-table-tp-el-black-80511356/,"SR2,190"
5,https://www.ikea.com/sa/en/p/pinntorp-table-light-brown-stained-white-stained-30529467/,SR599
6,https://www.ikea.com/sa/en/p/lappland-tv-storage-unit-black-brown-30285153/,SR999
7,https://www.ikea.com/sa/en/p/fabrikoer-glass-door-cabinet-black-blue-00363171/,"SR1,295"
8,https://www.ikea.com/sa/en/p/havsta-shelving-unit-dark-brown-10391041/,SR749
9,https://www.ikea.com/sa/en/p/gullhult-wall-shelf-black-pine-antique-effect-80417735/,SR89
10,https://www.ikea.com/sa/en/p/klimpfjaell-dining-table-grey-brown-30434657/,"SR2,499"
11,https://www.ikea.com/sa/en/p/hauga-upholstered-bed-frame-vissle-grey-60446357/,"SR1,245"
12,https://www.ikea.com/sa/en/p/hyllis-shelving-unit-in-outdoor-30428326/,SR79
13,https://www.ikea.com/sa/en/p/vimle-cover-for-2-seat-section-saxemara-light-blue-40496089/,SR445
14,https://www.ikea.com/sa/en/p/lillasen-desk-bamboo-90278277/,SR895
15,https://www.ikea.com/sa/en/p/ekedalen-chair-cover-hakebo-beige-50508609/,SR60
16,https://www.ikea.com/sa/en/p/hauga-sideboard-white-60407266/,"SR1,395"
17,https://www.ikea.com/sa/en/p/sandsberg-chair-black-brown-stained-70412960/,SR129
18,https://www.ikea.com/sa/en/p/ekedalen-extendable-table-brown-30340809/,"SR1,195"
19,https://www.ikea.com/sa/en/p/jolpen-2-seat-sofa-outdoor-white-grey-60515483/,SR355
20,https://www.ikea.com/sa/en/p/malm-chest-of-2-drawers-white-80214549/,SR279
21,https://www.ikea.com/sa/en/p/idanaes-bed-frame-white-00458904/,"SR1,795"
22,https://www.ikea.com/sa/en/p/bergmund-chair-cover-red-white-70570011/,SR90
23,https://www.ikea.com/sa/en/p/vevelstad-bed-frame-white-00505528/,SR795
24,https://www.ikea.com/sa/en/p/ingatorp-extendable-table-white-70221423/,"SR1,575"
25,https://www.ikea.com/sa/en/p/bergig-book-display-with-storage-white-00472702/,SR595
26,https://www.ikea.com/sa/en/p/malm-chest-of-3-drawers-black-brown-20403557/,SR479
27,https://www.ikea.com/sa/en/p/tomthult-bracket-white-40399899/,SR10
