,item_id,name,category,link,price
0,298128,TYSSEDAL,Wardrobes,https://www.ikea.com/sa/en/p/tyssedal-wardrobe-white-mirror-glass-00298128/,"SR1,995"
1,30248537,SNIGLAR,Nursery furniture,https://www.ikea.com/sa/en/p/sniglar-cot-beech-30248537/,SR445
2,20398688,GRÖNLID,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/groenlid-cover-for-corner-section-sporda-dark-grey-20398688/,SR445
3,397736,NORRARYD,Dining furniture,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,SR525
4,80511356,UPPSPEL,Gaming furniture,https://www.ikea.com/sa/en/p/uppspel-underframe-sit-stand-f-table-tp-el-black-80511356/,"SR2,190"
5,30529467,PINNTORP,Dining furniture,https://www.ikea.com/sa/en/p/pinntorp-table-light-brown-stained-white-stained-30529467/,SR599
6,30285153,LAPPLAND,TV & media furniture,https://www.ikea.com/sa/en/p/lappland-tv-storage-unit-black-brown-30285153/,SR999
7,363171,FABRIKÖR,Cabinets & cupboards,https://www.ikea.com/sa/en/p/fabrikoer-glass-door-cabinet-black-blue-00363171/,"SR1,295"
8,10391041,HAVSTA,Bookcases & shelving units,https://www.ikea.com/sa/en/p/havsta-shelving-unit-dark-brown-10391041/,SR749
9,80417735,GULLHULT,Bookcases & shelving units,https://www.ikea.com/sa/en/p/gullhult-wall-shelf-black-pine-antique-effect-80417735/,SR89
10,30434657,KLIMPFJÄLL,Dining furniture,https://www.ikea.com/sa/en/p/klimpfjaell-dining-table-grey-brown-30434657/,"SR2,499"
11,60446357,HAUGA,Beds,https://www.ikea.com/sa/en/p/hauga-upholstered-bed-frame-vissle-grey-60446357/,"SR1,245"
12,30428326,HYLLIS,Bookcases & shelving units,https://www.ikea.com/sa/en/p/hyllis-shelving-unit-in-outdoor-30428326/,SR79
13,40496089,VIMLE,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/vimle-cover-for-2-seat-section-saxemara-light-blue-40496089/,SR445
14,90278277,LILLÅSEN,Tables & desks,https://www.ikea.com/sa/en/p/lillasen-desk-bamboo-90278277/,SR895
15,50508609,EKEDALEN,Dining furniture,https://www.ikea.com/sa/en/p/ekedalen-chair-cover-hakebo-beige-50508609/,SR60
16,60407266,HAUGA,Dining furniture,https://www.ikea.com/sa/en/p/hauga-sideboard-white-60407266/,"SR1,395"
17,70412960,SANDSBERG,Dining furniture,https://www.ikea.com/sa/en/p/sandsberg-chair-black-brown-stained-70412960/,SR129
18,30340809,EKEDALEN,Dining furniture,https://www.ikea.com/sa/en/p/ekedalen-extendable-table-brown-30340809/,"SR1,195"
19,60515483,JOLPEN,Outdoor furniture,https://www.ikea.com/sa/en/p/jolpen-2-seat-sofa-outdoor-white-grey-60515483/,SR355
20,80214549,MALM,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/malm-chest-of-2-drawers-white-80214549/,SR279
21,458904,IDANÄS,Beds,https://www.ikea.com/sa/en/p/idanaes-bed-frame-white-00458904/,"SR1,795"
22,70570011,BERGMUND,Dining furniture,https://www.ikea.com/sa/en/p/bergmund-chair-cover-red-white-70570011/,SR90
23,505528,VEVELSTAD,Beds,https://www.ikea.com/sa/en/p/vevelstad-bed-frame-white-00505528/,SR795
24,70221423,INGATORP,Dining furniture,https://www.ikea.com/sa/en/p/ingatorp-extendable-table-white-70221423/,"SR1,575"
25,472702,BERGIG,Nursery furniture,https://www.ikea.com/sa/en/p/bergig-book-display-with-storage-white-00472702/,SR595
26,20403557,MALM,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/malm-chest-of-3-drawers-black-brown-20403557/,SR479
27,40399899,TOMTHULT,Bookcases & shelving units,https://www.ikea.com/sa/en/p/tomthult-bracket-white-40399899/,SR10
28,30360982,IDÅSEN,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/idasen-drawer-unit-on-castors-dark-grey-30360982/,SR745
29,458876,IDANÄS,Beds,https://www.ikea.com/sa/en/p/idanaes-bed-frame-with-storage-white-00458876/,"SR2,545"
30,90294512,BESTÅ,TV & media furniture,https://www.ikea.com/sa/en/p/besta-tv-bench-black-brown-90294512/,SR600
31,10299877,BESTÅ,TV & media furniture,https://www.ikea.com/sa/en/p/besta-tv-bench-grey-stained-walnut-effect-10299877/,SR845
32,40520862,DANDERYD,Dining furniture,https://www.ikea.com/sa/en/p/danderyd-chair-white-vissle-grey-40520862/,SR479
33,30392469,HEMNES,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/hemnes-chest-of-8-drawers-grey-stained-30392469/,"SR1,645"
34,50510805,SEGERÖN,Outdoor furniture,https://www.ikea.com/sa/en/p/segeroen-one-seat-section-outdoor-white-beige-50510805/,0
35,50496135,VIMLE,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/vimle-cover-for-1-seat-section-saxemara-black-blue-50496135/,SR345
